,START,T1,T2,T3,T4,START,T1,T2,T3,T4
Vpnr,C2,C4,C7,C9,C11,S2,S4,S8,S11,S13
1A001,01:18:30 PM,01:30:20 PM,01:57:06 PM,02:13:44 PM,02:18:20 PM,01:10:30 PM,01:28:10 PM,01:54:38 PM,02:09:02 PM,02:14:00 PM
1A002,01:52:45 PM,02:05:55 PM,02:34:44 PM,02:49:45 PM,02:57:15 PM,01:06:06 PM,01:18:59 PM,03:13:06 PM,03:29:03 PM,03:35:55 PM
1A003,02:48:00 PM,03:02:00 PM,03:42:00 PM,04:02:00 PM,04:08:00 PM,02:39:50 PM,02:51:40 PM,03:19:17 PM,03:34:02 PM,03:39:50 PM
1A005,03:03:48 PM,03:14:58 PM,03:42:39 PM,03:57:56 PM,04:01:50 PM,03:08:00 PM,03:19:21 PM,03:43:19 PM,03:58:52 PM,04:01:50 PM
1A006,02:51:20 PM,03:04:15 PM,03:35:51 PM,03:51:21 PM,03:56:20 PM,02:12:46 PM,02:29:29 PM,03:04:56 PM,03:20:00 PM,03:26:30 PM
1A009,04:39:08 PM,04:50:12 PM,05:20:00 PM,05:38:00 PM,05:45:32 PM,04:42:54 PM,04:54:30 PM,05:18:23 PM,05:34:18 PM,05:37:30 PM
1A012,03:13:20 PM,03:25:26 PM,03:57:35 PM,04:14:40 PM,04:18:00 PM,03:08:41 PM,03:22:15 PM,03:49:21 PM,04:04:05 PM,04:05:15 PM
1A013,01:45:15 PM,02:03:40 PM,02:38:30 PM,02:55:50 PM,02:59:30 PM,03:12:45 PM,03:24:58 PM,03:51:53 PM,04:07:15 PM,04:10:10 PM
1A014,03:41:30 PM,03:52:46 PM,04:24:00 PM,04:38:20 PM,04:41:00 PM,02:29:20 PM,02:41:00 PM,03:12:56 PM,03:28:06 PM,03:31:00 PM
1A018,04:24:00 PM,04:36:20 PM,05:05:50 PM,05:21:40 PM,05:24:10 PM,04:43:40 PM,04:54:45 PM,05:21:40 PM,05:37:10 PM,05:40:20 PM
1A019,03:05:10 PM,03:17:02 PM,03:46:22 PM,04:01:00 PM,04:04:30 PM,02:20:15 PM,02:31:45 PM,03:00:59 PM,03:15:12 PM,03:20:30 PM
1A020,04:40:00 PM,04:52:00 PM,05:27:30 PM,05:43:00 PM,05:46:00 PM,04:53:00 PM,04:54:30 PM,05:25:30 PM,05:41:34 PM,05:45:40 PM
1A021,01:34:30 PM,01:46:30 PM,02:20:04 PM,02:36:50 PM,02:40:40 PM,01:41:30 PM,01:56:30 PM,02:31:43 PM,02:55:30 PM,03:00:00 PM
1A027,01:38:30 PM,01:51:30 PM,02:19:55 PM,02:34:10 PM,02:37:25 PM,03:17:00 PM,03:28:25 PM,03:53:54 PM,04:09:16 PM,04:12:00 PM
1A028,04:34:20 PM,04:46:30 PM,05:15:45 PM,05:30:20 PM,05:33:20 PM,04:31:00 PM,04:45:00 PM,05:17:10 PM,05:32:26 PM,05:35:50 PM
1A030,03:18:00 PM,03:28:00 PM,04:03:40 PM,04:19:40 PM,04:24:00 PM,02:05:30 PM,02:06:30 PM,02:34:50 PM,02:50:33 PM,02:53:37 PM
1A035,04:35:30 PM,04:47:20 PM,05:17:40 PM,05:32:25 PM,05:35:15 PM,04:43:00 PM,04:56:06 PM,05:25:44 PM,05:40:00 PM,05:43:02 PM
1A039,01:38:55 PM,01:50:40 PM,02:17:00 PM,02:31:39 PM,02:34:41 PM,01:31:50 PM,01:50:30 PM,02:20:10 PM,02:35:30 PM,02:38:26 PM
1B004,01:45:08 PM,01:56:27 PM,02:19:49 PM,02:33:22 PM,02:39:12 PM,01:39:50 PM,01:52:45 PM,02:28:03 PM,02:43:22 PM,02:47:50 PM
1B007,04:06:12 PM,04:16:52 PM,04:44:33 PM,04:59:59 PM,05:06:00 PM,04:07:30 PM,04:19:45 PM,04:55:12 PM,05:13:03 PM,05:19:39 PM
1B008,01:28:40 PM,01:40:16 PM,01:55:10 PM,02:13:15 PM,02:17:35 PM,01:09:40 PM,01:25:20 PM,01:51:21 PM,02:05:44 PM,02:08:50 PM
1B010,03:08:15 PM,03:20:00 PM,03:40:40 PM,03:54:00 PM,03:57:00 PM,03:08:25 PM,03:21:19 PM,03:59:51 PM,04:13:43 PM,04:14:10 PM
1B011,04:08:10 PM,04:19:32 PM,04:45:55 PM,04:59:38 PM,05:02:45 PM,01:34:37 PM,01:49:04 PM,02:29:12 PM,02:47:09 PM,02:52:00 PM
1B015,02:06:30 PM,02:17:00 PM,02:42:00 PM,02:55:50 PM,02:59:00 PM,01:48:50 PM,02:00:03 PM,02:23:32 PM,02:36:56 PM,02:40:20 PM
1B016,03:50:00 PM,04:02:35 PM,04:34:00 PM,04:48:20 PM,04:52:30 PM,02:17:59 PM,02:32:44 PM,03:19:26 PM,03:38:17 PM,03:47:52 PM
1B017,01:44:00 PM,01:55:30 PM,02:20:30 PM,02:37:00 PM,02:40:00 PM,01:30:10 PM,01:42:40 PM,02:18:48 PM,02:35:10 PM,02:37:50 PM
1B022,03:08:50 PM,03:22:00 PM,03:48:00 PM,04:05:00 PM,04:08:59 PM,03:31:20 PM,03:43:30 PM,04:23:43 PM,04:39:40 PM,04:43:00 PM
1B023,04:22:00 PM,04:33:30 PM,04:58:00 PM,05:12:45 PM,05:17:00 PM,04:43:00 PM,04:56:30 PM,05:37:55 PM,05:52:56 PM,05:56:00 PM
1B026,01:37:30 PM,01:48:30 PM,02:11:50 PM,02:27:30 PM,02:31:40 PM,01:36:50 PM,01:48:53 PM,02:35:43 PM,02:50:00 PM,02:53:00 PM
1B033,03:15:00 PM,03:26:00 PM,03:47:00 PM,04:00:30 PM,04:04:30 PM,04:50:00 PM,05:01:50 PM,05:33:24 PM,05:48:48 PM,05:51:50 PM
1B034,01:42:30 PM,01:54:30 PM,02:21:37 PM,02:35:26 PM,02:39:25 PM,01:42:39 PM,01:55:00 PM,02:31:40 PM,02:50:00 PM,02:53:10 PM
2A029,03:02:00 PM,03:16:00 PM,04:09:00 PM,04:29:00 PM,04:32:40 PM,03:03:00 PM,03:13:50 PM,03:53:08 PM,04:08:51 PM,04:11:30 PM
2A038,03:22:00 PM,03:16:00 PM,04:00:00 PM,04:19:00 PM,04:21:00 PM,02:56:30 PM,03:08:24 PM,03:36:35 PM,03:51:57 PM,03:55:10 PM
2B031,02:53:00 PM,03:04:41 PM,03:26:30 PM,03:40:10 PM,03:42:57 PM,03:03:50 PM,03:18:30 PM,03:47:53 PM,04:02:24 PM,04:05:52 PM
2B036,03:07:00 PM,03:17:50 PM,03:46:50 PM,04:06:30 PM,04:10:40 PM,03:00:00 PM,03:15:00 PM,03:56:45 PM,04:14:10 PM,04:16:50 PM