,ventstr_act,cond,sub_id
1,-5.4487,CT,1A002
3,-2.3845,CT,1A005
5,4.637,CT,1A009
7,1.3622,CT,1A013
9,-2.077,CT,1A014
11,0.7993,CT,1A018
13,4.5733,CT,1A019
15,0.7252,CT,1A020
17,0.8939,CT,1A027
19,2.5619,CT,1A028
21,1.6183,CT,1A030
23,-1.3513,CT,1A039
25,1.3279,CT,1A042
27,-0.8243,CT,1B007
29,-6.1632,CT,1B008
31,0.8063,CT,1B010
33,-6.022,CT,1B015
35,-2.2545,CT,1B016
37,4.1212,CT,1B017
39,-0.2387,CT,1B022
41,-4.8879,CT,1B023
43,-4.3764,CT,1B026
45,4.799,CT,1B033
47,3.5736,CT,1B034
49,3.3916,CT,1B052
51,1.5982,CT,1B053
53,3.4783,CT,1B056
55,-4.3058,CT,1B057
2,2.6348,ST,1A002
4,-0.5931,ST,1A005
6,5.177,ST,1A009
8,4.9667,ST,1A013
10,2.4224,ST,1A014
12,-1.0136,ST,1A018
14,4.4473,ST,1A019
16,3.9459,ST,1A020
18,10.8,ST,1A027
20,4.6274,ST,1A028
22,1.8248,CT,1A030
24,2.2625,ST,1A039
26,4.3572,ST,1A042
28,2.3661,ST,1B007
30,-3.9474,ST,1B008
32,7.7819,ST,1B010
34,-2.4535,ST,1B015
36,2.0743,ST,1B016
38,5.8944,ST,1B017
40,7.822,ST,1B022
42,0.1779,ST,1B023
44,9.7954,ST,1B026
46,9.5444,ST,1B033
48,15.0717,ST,1B034
50,8.7872,ST,1B052
52,5.8117,ST,1B053
54,5.0485,ST,1B056
56,1.9626,ST,1B057